class	verdict	name	ownerrepo	resolved	section	last_commit	pushed	stars	forks	open_issues	archived	license	lang	url	reason
STALE	ABANDONWARE	PyDownTV2	aabilio/PyDownTV2	aabilio/PyDownTV2	Televisión, Radio y Podcasts	2014-09-17T16:35:28Z	2014-09-17T16:35:47Z	52	32	34	False		Python	https://github.com/aabilio/PyDownTV2	Sus propias issues confirman la rotura: «rtves script doesn't work anymore», «TV3 falla, nueva web en HTML5», Atresplayer roto. 34 issues abiertas.
STALE	ABANDONWARE	renfe-api	atabel/renfe-api	atabel/renfe-api	Transporte y Movilidad	2015-03-22T12:21:48Z	2015-03-22T12:21:49Z	6	1	2	False	MIT	JavaScript	https://github.com/atabel/renfe-api	Scraper de venta.renfe.com de 2015. Renfe rehízo el motor de venta; sin adaptación no resuelve.
STALE	FINISHED	dnieprov	lfern/dnieprov	lfern/dnieprov	Firma Electrónica y Administración Pública	2015-04-06T17:49:37Z	2015-04-06T17:50:22Z	22	4	1	False	NOASSERTION	Java	https://github.com/lfern/dnieprov	Proveedor JCE para el DNIe. El estándar del DNIe 3.0/4.0 mantiene compatibilidad; cero issues de fallo en 10 años.
STALE	FINISHED	Leaflet.Spain.WMS	sigdeletras/Leaflet.Spain.WMS	sigdeletras/Leaflet.Spain.WMS	Cartografía y Catastro	2015-06-16T09:24:25Z	2015-06-16T09:24:25Z	36	8	2	False	NOASSERTION	JavaScript	https://github.com/sigdeletras/Leaflet.Spain.WMS	Colección de capas WMS del IGN y el Catastro para Leaflet. Los endpoints WMS siguen vivos. Aviso: su propia issue anuncia que Leaflet v2 requerirá adaptación.
STALE	ABANDONWARE	gasolineras-espana	kbsali/gasolineras-espana	kbsali/gasolineras-espana	Combustible y Estaciones de Servicio	2015-06-22T07:40:31Z	2021-11-04T13:53:31Z	7	5	2	False		Python	https://github.com/kbsali/gasolineras-espana	Su propia issue dice que la ubicación de descarga que indica el README es incorrecta: el fichero de precios de carburantes ya no está donde lo busca.
STALE	ABANDONWARE	NacexBundle	javaguirre/NacexBundle	javaguirre/NacexBundle	Logística y Mensajería	2015-10-09T09:08:48Z	2015-10-09T09:09:01Z	2	1	1	False		PHP	https://github.com/javaguirre/NacexBundle	Bundle Symfony para Nacex de 2015. Symfony ha roto compatibilidad varias veces desde entonces; no se ha probado la instalación.
STALE	FINISHED	valnif	alexladerman/valnif	alexladerman/valnif	Validación de Documentos	2016-12-21T23:23:55Z	2016-12-21T23:23:57Z	8	1	1	False		JavaScript	https://github.com/alexladerman/valnif	Validador NIF/CIF/NIE. El algoritmo de dígito de control no ha cambiado nunca. Sigue siendo correcto.
STALE	FINISHED	codigos_postales_spain	franciscojuan1974/codigos_postales_spain	franciscojuan1974/codigos_postales_spain	Datos Abiertos y Estadísticas	2017-01-29T12:44:09Z	2017-01-29T12:44:09Z	6	7	2	False	GPL-3.0		https://github.com/franciscojuan1974/codigos_postales_spain	Dataset de códigos postales. Estable; la única issue pregunta el origen de los datos.
STALE	FINISHED	spanish-names-surnames	jvalhondo/spanish-names-surnames	jvalhondo/spanish-names-surnames	Datos Abiertos y Estadísticas	2017-03-13T18:41:55Z	2022-11-18T10:50:21Z	35	30	2	False	NOASSERTION		https://github.com/jvalhondo/spanish-names-surnames	Dataset del INE de nombres y apellidos. 30 forks. Issue conocida: faltan tildes. Dato estático, no se rompe.
STALE	ABANDONWARE	wallapopy	toniprada/wallapopy	toniprada/wallapopy	Inmobiliaria y Mercados	2017-03-14T23:48:39Z	2020-04-28T22:10:35Z	25	4	5	False		Python	https://github.com/toniprada/wallapopy	Wallapop ha rehecho su API desde 2017. Issues abiertas piden la URL de la API y reportan resultados que faltan; no se ha verificado con qué autenticación responde hoy.
STALE	ABANDONWARE	autograph	azogue/autograph	azogue/autograph	Firma Electrónica y Administración Pública	2017-08-30T09:19:42Z	2017-08-30T09:19:53Z	3	1	1	False	MIT	Shell	https://github.com/azogue/autograph	Automatiza AutoFirma (2017). AutoFirma ha cambiado de versión y de protocolo varias veces desde entonces.
STALE	ABANDONWARE	Devopensource_Redsys	DevopensourceTeam/Devopensource_Redsys	DevopensourceTeam/Devopensource_Redsys	Pasarelas de Pago	2017-09-07T10:25:20Z	2017-11-04T18:35:28Z	26	11	21	False		PHP	https://github.com/DevopensourceTeam/Devopensource_Redsys	Usa mcrypt_encrypt(), función ELIMINADA de PHP en la 7.2 (2017). No arranca en ninguna versión de PHP con soporte. 21 issues abiertas con fallos de notificación 303.
STALE	FINISHED	LiveboxFibraExtractor	segura2010/LiveboxFibraExtractor	segura2010/LiveboxFibraExtractor	Telecomunicaciones	2017-09-25T09:53:55Z	2017-09-25T09:55:22Z	15	3	0	False	GPL-2.0	Java	https://github.com/segura2010/LiveboxFibraExtractor	Extrae credenciales del Livebox de Orange. Cero issues abiertas (el único del conjunto con cero). Hardware concreto y congelado.
STALE	ABANDONWARE	MADBike (Android)	Mun0n/MADBike	Mun0n/MADBike	Transporte y Movilidad	2017-11-23T21:38:36Z	2017-11-23T21:38:37Z	11	2	1	False	GPL-3.0	Java	https://github.com/Mun0n/MADBike	Cliente Android de BiciMAD (2017) sobre la API vieja. El autor vio la notificación y no reclamó que siguiera vivo.
STALE	ABANDONWARE	api-filmaffinity	carlosramosa/api-filmaffinity	carlosramosa/api-filmaffinity	Cine y Entretenimiento	2017-12-09T16:11:21Z	2020-09-27T14:44:32Z	29	6	5	False		JavaScript	https://github.com/carlosramosa/api-filmaffinity	Issue explícita del propio repo: «Ya no funciona :(». FilmAffinity cambió el HTML.
STALE	ABANDONWARE	bicimad-data-analysis	rameerez/bicimad-data-analysis	rameerez/bicimad-data-analysis	Transporte y Movilidad	2018-02-05T17:23:00Z	2018-02-05T17:23:11Z	16	2	2	False	MIT	Jupyter Notebook	https://github.com/rameerez/bicimad-data-analysis	Análisis sobre el volcado antiguo de BiciMAD (2018). Fuente de datos retirada.
STALE	FINISHED-INVESTIGACION	PyCante	NadineKroher/PyCante	NadineKroher/PyCante	Música y Flamenco	2018-02-13T16:09:34Z	2018-02-13T16:09:42Z	14	1	1	False	NOASSERTION	Python	https://github.com/NadineKroher/PyCante	Código de investigación del proyecto COFLA sobre análisis de cante flamenco. Acompaña a artículos publicados: se cita, no se mantiene. Retirarlo no rompe nada, pero pierde un recurso único.
STALE	FINISHED	catastro-lib-python	sperea/catastro-lib-python	sperea/catastro-lib-python	Cartografía y Catastro	2018-04-06T09:05:00Z	2018-04-06T09:05:13Z	12	6	1	False	GPL-3.0	HTML	https://github.com/sperea/catastro-lib-python	Cliente de los servicios OVC del Catastro (SOAP), con endpoints estables desde hace más de una década. Única issue: pide publicarlo en pip.
STALE	ABANDONWARE	idealisto	hmeleiro/idealisto	hmeleiro/idealisto	Inmobiliaria y Mercados	2018-04-23T11:57:11Z	2018-04-23T11:57:12Z	15	3	4	False	MIT	R	https://github.com/hmeleiro/idealisto	Su propia issue lo dice: «Do you have any idea why Idealista has blocked your access?». Comprobado: idealista.com responde 403 a un cliente que no es un navegador.
STALE	ABANDONWARE	pyemtmad	rmed/pyemtmad	rmed/pyemtmad	Transporte y Movilidad	2018-05-06T18:38:15Z	2018-05-06T18:38:16Z	5	3	3	False	GPL-2.0	Python	https://github.com/rmed/pyemtmad	Cliente de la API antigua de la EMT de Madrid (2018), sustituida por MobilityLabs.
STALE	ABANDONWARE	Siane	rOpenSpain/Siane	rOpenSpain/Siane	Datos Abiertos y Estadísticas	2018-05-13T17:12:24Z	2021-07-26T11:37:37Z	10	1	6	False	NOASSERTION	R	https://github.com/rOpenSpain/Siane	Paquete R del SIANE del INE. 6 issues abiertas de la revisión de rOpenSpain: «Malformed DESCRIPTION», «Code problems». Nunca llegó a estar bien empaquetado.
STALE	ABANDONWARE	aeat-web-services	initios/aeat-web-services	initios/aeat-web-services	Facturación Electrónica	2018-05-29T09:59:02Z	2018-05-29T09:59:12Z	12	5	2	False	MIT	Python	https://github.com/initios/aeat-web-services	Cliente del SII de la AEAT de 2018. El SII ha subido de versión desde entonces; no se han comparado los esquemas XSD uno a uno.
STALE	ABANDONWARE	merca-api	javichur/merca-api	javichur/merca-api	Supermercados	2018-06-04T00:24:43Z	2018-06-04T00:25:40Z	13	3	2	False	MIT	C#	https://github.com/javichur/merca-api	API no oficial de Mercadona de 2018, anterior al rediseño de la tienda online.
STALE	ABANDONWARE	AENA_Info_Vuelos	InnocenceAllen/AENA_Info_Vuelos	InnocenceAllen/AENA_Info_Vuelos	Transporte y Movilidad	2018-06-07T10:20:38Z	2018-11-19T21:34:40Z	8	5	1	False	MIT	HTML	https://github.com/InnocenceAllen/AENA_Info_Vuelos	"Verificado ejecutando su propio get_airports(): la URL que codifica (csee/Satellite/infovuelos/es/) redirige a infovuelos.html, que ya no trae tablas porque los vuelos se pintan en cliente, así que soup.find(id=""origin_ac"") devuelve None y revienta en el primer paso."
STALE	FINISHED-DRIFT	FootballMatchesDataSet	RicardoMoya/FootballMatchesDataSet	RicardoMoya/FootballMatchesDataSet	Deportes	2018-06-13T07:35:48Z	2018-06-13T07:36:15Z	37	14	1	False		Python	https://github.com/RicardoMoya/FootballMatchesDataSet	Dataset de partidos hasta 2018. No se rompe, pero queda desactualizado cada temporada: útil solo como archivo histórico.
STALE	ABANDONWARE	idealista-scraper	rubnvp/idealista-scraper	rubnvp/idealista-scraper	Inmobiliaria y Mercados	2018-06-21T20:35:24Z	2018-06-21T20:35:31Z	5	3	1	False		JavaScript	https://github.com/rubnvp/idealista-scraper	Scraper de 2018 contra el mismo bloqueo: idealista.com responde 403 a un cliente que no es un navegador.
STALE	ABANDONWARE	renfe-notifier-bot	grcanosa/renfe-notifier-bot	grcanosa/renfe-notifier-bot	Transporte y Movilidad	2018-07-17T06:20:00Z	2018-07-18T21:00:33Z	10	2	1	False	MIT	Python	https://github.com/grcanosa/renfe-notifier-bot	Bot sobre la búsqueda de Renfe (2018). Depende del HTML antiguo.
STALE	ABANDONWARE	EasySII.Watcher	mdiago/EasySII.Watcher	mdiago/EasySII.Watcher	Facturación Electrónica	2018-09-19T14:29:31Z	2018-09-19T14:29:31Z	4	1	1	False	MIT	C#	https://github.com/mdiago/EasySII.Watcher	Watcher del SII de 2018, mismo desfase de versión. El autor mantiene otros repos de SII más nuevos.
STALE	ABANDONWARE	nova-dni-field	64robots/nova-dni-field	64robots/nova-dni-field	Validación de Documentos	2018-10-16T12:45:37Z	2018-10-16T12:46:39Z	8	1	2	False		PHP	https://github.com/64robots/nova-dni-field	Campo DNI para Laravel Nova. Issue abierta: «Error con nova 4.24.4». Nova ha ido por la v4/v5; el paquete se quedó en v2/v3.
STALE	ABANDONWARE	eVisor	ctt-gob-es/eVisor	ctt-gob-es/eVisor	Firma Electrónica y Administración Pública	2018-10-18T13:13:30Z	2018-10-18T13:13:38Z	5	4	3	False		Java	https://github.com/ctt-gob-es/eVisor	Visor de firmas J2EE de 2018. Issue abierta: falla al desplegar el EAR. La organización publica hoy clienteafirma y fire en su lugar.
STALE	ABANDONWARE	tvhstar	LuisPalacios/tvhstar	LuisPalacios/tvhstar	Televisión, Radio y Podcasts	2018-11-13T15:30:25Z	2018-11-13T15:30:32Z	25	10	4	False		JavaScript	https://github.com/LuisPalacios/tvhstar	Issue abierta: «fallo en la conversión Parsing de XML(movistar) a JSON !! ERROR !!». El autor respondió «si sigue sirviendo me alegro», que no es una reclamación de que funcione.
STALE	FINISHED	municipios	antonrodin/municipios	antonrodin/municipios	Datos Abiertos y Estadísticas	2018-11-26T08:39:33Z	2018-11-26T08:39:34Z	32	35	2	False			https://github.com/antonrodin/municipios	Dataset de municipios. 35 forks, se usa como fuente. Los municipios cambian muy poco; deriva lenta, no rotura.
STALE	ABANDONWARE	iuris	onticsoluciones/iuris	onticsoluciones/iuris	Transparencia y Legal Tech	2018-12-01T17:50:13Z	2018-12-01T17:50:32Z	7	3	2	False	AGPL-3.0	JavaScript	https://github.com/onticsoluciones/iuris	Legal tech de 2018 de una consultora. Sin releases, 7 estrellas, sin actividad; la empresa no lo publicita.
STALE	ABANDONWARE	bicing-prediction-api	lechatquidanse/bicing-prediction-api	lechatquidanse/bicing-prediction-api	Transporte y Movilidad	2018-12-14T14:04:37Z	2019-01-21T16:05:00Z	10	1	1	False		Python	https://github.com/lechatquidanse/bicing-prediction-api	Depende de bicing-api. Misma fuente muerta.
STALE	FINISHED-DRIFT	sepakit	APSL/sepakit	APSL/sepakit	Formatos Bancarios	2019-01-16T16:30:46Z	2023-02-23T01:27:55Z	3	1	1	False	MIT	Go	https://github.com/APSL/sepakit	Genera ficheros SEPA y cuadernos. El formato es estable, pero el push de 2023 sin commit sugiere solo mantenimiento de ramas. Riesgo bajo si se queda.
STALE	ABANDONWARE	php-correosexpress-api	klareNNNs/php-correosexpress-api	klareNNNs/php-correosexpress-api	Logística y Mensajería	2019-02-06T13:46:31Z	2019-02-06T13:46:43Z	3	2	2	False		PHP	https://github.com/klareNNNs/php-correosexpress-api	Cliente de Correos Express de 2019. Issue abierta sobre requisitos de guzzlehttp; la API de Correos Express cambió.
STALE	ABANDONWARE	bicing-api	lechatquidanse/bicing-api	lechatquidanse/bicing-api	Transporte y Movilidad	2019-02-21T09:18:18Z	2019-04-28T16:49:16Z	162	14	2	False		PHP	https://github.com/lechatquidanse/bicing-api	162 estrellas, pero sin cambios desde 2019 y el Bicing de Barcelona ha cambiado su publicación de datos desde entonces; no se ha verificado el feed XML que consume.
STALE	ABANDONWARE	mercadona-scrapper	nicolaspascual/mercadona-scrapper	nicolaspascual/mercadona-scrapper	Supermercados	2019-02-27T18:36:47Z	2021-06-01T23:48:21Z	49	13	2	False		Python	https://github.com/nicolaspascual/mercadona-scrapper	Issue del propio repo: «The web is deprecated». Mercadona movió todo a tienda.mercadona.es.
STALE	ABANDONWARE	CapitanRenfe	riera90/CapitanRenfe	riera90/CapitanRenfe	Transporte y Movilidad	2019-04-20T00:35:51Z	2019-04-20T00:35:51Z	5	0	1	False		Python	https://github.com/riera90/CapitanRenfe	Scraper de Renfe de 2019, mismo problema que renfe-api.
STALE	ABANDONWARE	zoilomora/iberdrola	zoilomora/iberdrola	zoilomora/iberdrola	Energía y Electricidad	2019-05-16T18:27:24Z	2019-05-16T18:27:55Z	16	2	1	False	MIT	PHP	https://github.com/zoilomora/iberdrola	Issue explícita: el login de i-de.es cuelga tras el handshake TLS, dominio anterior deprecado. Confirmado roto.
STALE	ABANDONWARE	MADBike (iOS)	alexruperez/MADBike	alexruperez/MADBike	Transporte y Movilidad	2019-08-19T07:42:43Z	2019-08-19T07:43:48Z	23	5	1	False	GPL-3.0	Objective-C	https://github.com/alexruperez/MADBike	Cliente iOS de BiciMAD (2019), misma API retirada. El autor vio la notificación y no reclamó.
STALE	SUPERSEDED	Tvheadend_Movistar-Spain	manuelrn/Tvheadend_Movistar-Spain	manuelrn/Tvheadend_Movistar-Spain	Televisión, Radio y Podcasts	2019-10-07T23:07:29Z	2019-10-07T23:07:43Z	22	5	5	False		Shell	https://github.com/manuelrn/Tvheadend_Movistar-Spain	Movistar cambió frecuencias y EPG (sus issues abiertas lo reportan). El que se sigue usando para esto es MovistarTV/tv_grab_es_movistartv, ya en la lista.
STALE	FINISHED	kronognuguitarra	alvarogonzalezferrer/kronognuguitarra	alvarogonzalezferrer/kronognuguitarra	Música y Flamenco	2019-10-18T05:02:14Z	2019-10-18T05:04:34Z	11	1	1	False	GPL-3.0	C	https://github.com/alvarogonzalezferrer/kronognuguitarra	Metrónomo y compás para guitarra flamenca. Software autónomo sin dependencia de ningún servicio externo: sigue ejecutándose igual. Release 0.1.1.
STALE	ABANDONWARE	laravel-policia-hotel	leifermendez/laravel-policia-hotel	leifermendez/laravel-policia-hotel	Firma Electrónica y Administración Pública	2019-11-09T15:24:39Z	2026-05-19T20:24:28Z	9	0	2	False	MIT	PHP	https://github.com/leifermendez/laravel-policia-hotel	Parte de hospedajes al antiguo webservice de la Policía. Sustituido en 2023 por SES.HOSPEDAJES (RD 933/2021), como pide su propia issue abierta.
STALE	ABANDONWARE	MitraStar_GPT-2541GNAC_HA	joseska/MitraStar_GPT-2541GNAC_HA	joseska/MitraStar_GPT-2541GNAC_HA	Telecomunicaciones	2019-11-23T10:04:33Z	2019-11-23T10:04:34Z	14	10	3	False	GPL-3.0	Python	https://github.com/joseska/MitraStar_GPT-2541GNAC_HA	Issues abiertas «Not working» y una que reporta un bloqueo de Cloudflare. Router concreto de Movistar ya retirado del parque; no verificable sin el aparato.
STALE	FINISHED	spanish_vat_validators	javiertoledo/spanish_vat_validators	javiertoledo/spanish_vat_validators	Validación de Documentos	2019-12-05T12:24:42Z	2019-12-05T12:25:00Z	10	12	1	False	MIT	Ruby	https://github.com/javiertoledo/spanish_vat_validators	Validadores NIF/CIF para Rails. Especificación inmutable; gema publicada con release v0.0.5.
STALE	ABANDONWARE	CoreEMT	fitomad/CoreEMT	fitomad/CoreEMT	Transporte y Movilidad	2019-12-30T08:05:28Z	2020-02-03T07:34:01Z	6	0	1	False		Swift	https://github.com/fitomad/CoreEMT	Framework Swift sobre la misma API antigua de la EMT (2019).
STALE	FINISHED-OFICIAL	FirmaXadesNet45	ctt-gob-es/FirmaXadesNet45	ctt-gob-es/FirmaXadesNet45	Firma Electrónica y Administración Pública	2020-01-13T12:13:40Z	2023-05-30T19:13:25Z	38	67	13	False		C#	https://github.com/ctt-gob-es/FirmaXadesNet45	Igual que FirmaXadesNet pero para .NET 4.5. 67 forks, 13 issues abiertas de integración (no de rotura). Publicación oficial del CTT.
STALE	FINISHED-OFICIAL	FirmaCadesNet	ctt-gob-es/FirmaCadesNet	ctt-gob-es/FirmaCadesNet	Firma Electrónica y Administración Pública	2020-01-13T12:14:16Z	2020-01-13T12:14:17Z	10	6	1	False		C#	https://github.com/ctt-gob-es/FirmaCadesNet	CAdES oficial del CTT. Norma estable, cero issues de fallo. La organización ctt-gob-es está viva (clienteafirma con push el 2026-08-24).
STALE	FINISHED-OFICIAL	FirmaXadesNet	ctt-gob-es/FirmaXadesNet	ctt-gob-es/FirmaXadesNet	Firma Electrónica y Administración Pública	2020-01-13T12:14:41Z	2023-05-30T19:12:22Z	28	45	5	False		C#	https://github.com/ctt-gob-es/FirmaXadesNet	Implementación oficial del gobierno de XAdES para .NET. Norma ETSI estable, 45 forks, ecosistema de forks activos. Caso claro de «estable/completo».
STALE	ABANDONWARE-BY-TIME	irpf	Enchufa2/irpf	Enchufa2/irpf	Facturación Electrónica	2020-01-23T11:25:14Z	2020-01-23T11:25:51Z	8	0	0	False			https://github.com/Enchufa2/irpf	Calculadora de IRPF con los tramos del ejercicio 2019. Los tramos cambian cada año: no se «rompe», da resultados incorrectos, que es peor. Cero issues abiertas y el autor agradeció la inclusión sin actualizarlo.
STALE	ABANDONWARE	your-renfe-tickets-are-available	fervillarce/your-renfe-tickets-are-available	fervillarce/your-renfe-tickets-are-available	Transporte y Movilidad	2020-01-28T19:49:18Z	2020-01-28T19:49:19Z	7	0	1	False		Python	https://github.com/fervillarce/your-renfe-tickets-are-available	Mismo patrón: vigila la web de Renfe, 2020.
STALE	ABANDONWARE	DGT-appointment	ajorquera/DGT-appointment	ajorquera/DGT-appointment	DGT y Vehículos	2020-02-23T14:20:06Z	2023-01-04T06:43:21Z	5	2	2	False		JavaScript	https://github.com/ajorquera/DGT-appointment	Automatiza la cita previa de la DGT (2020). Issue abierta pidiendo «update the code»; la sede de citas de la DGT responde 200, así que el motivo es que el flujo ha cambiado, no un bloqueo.
STALE	FINISHED	generador-gml	chapulincatastral/generador-gml	chapulincatastral/generador-gml	Cartografía y Catastro	2020-02-25T19:46:54Z	2020-02-25T19:46:55Z	18	42	1	False	GPL-3.0	Common Lisp	https://github.com/chapulincatastral/generador-gml	Genera el GML de la Validación Gráfica Alternativa del Catastro; esquema obligatorio y sin cambios. 42 forks, uso real de gestorías.
STALE	ABANDONWARE	easyredsys	majulvez/easyredsys	majulvez/easyredsys	Pasarelas de Pago	2020-04-14T14:38:12Z	2023-10-10T13:42:52Z	15	5	1	False	GPL-3.0	Java	https://github.com/majulvez/easyredsys	Integración Redsys de 2020 sin 3DS2, que es lo que exige la SCA de PSD2 para el flujo de pago actual.
STALE	FINISHED	spain-phone	singuerinc/spain-phone	singuerinc/spain-phone	Validación de Documentos	2020-04-18T21:07:03Z	2020-07-17T11:45:06Z	9	1	0	False	MIT	JavaScript	https://github.com/singuerinc/spain-phone	Plan de numeración telefónica español (CNMC), estable. Cero issues abiertas, release v1.4.2.
STALE	FINISHED	spanish-car-plate	singuerinc/spanish-car-plate	singuerinc/spanish-car-plate	Validación de Documentos	2020-04-18T21:17:46Z	2020-09-04T23:22:26Z	8	1	5	False	MIT	JavaScript	https://github.com/singuerinc/spanish-car-plate	Matrículas españolas: formato sin cambios desde septiembre de 2000. Parser correcto; las issues abiertas son mejoras de documentación, no fallos.
STALE	ABANDONWARE	dedomeno	ginopalazzo/dedomeno	ginopalazzo/dedomeno	Inmobiliaria y Mercados	2020-04-22T18:37:44Z	2020-04-22T18:38:02Z	45	8	2	False	MIT	Python	https://github.com/ginopalazzo/dedomeno	Scraper de Idealista y Fotocasa (2020). Idealista responde 403 a clientes que no son navegador; fotocasa.es sigue respondiendo 200, así que ahí el motivo es el desfase del scraper, no un bloqueo.
